GEOID,location,name,estimate,moe,label,concept,geography
29510101400,Census Tract 1014; St. Louis city; Missouri,B08105A_005,20,19,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101400,Census Tract 1014; St. Louis city; Missouri,B08105A_006,0,12,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101400,Census Tract 1014; St. Louis city; Missouri,B08105A_007,119,73,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101500,Census Tract 1015; St. Louis city; Missouri,B08105A_001,951,286,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101500,Census Tract 1015; St. Louis city; Missouri,B08105A_002,661,232,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101500,Census Tract 1015; St. Louis city; Missouri,B08105A_003,186,147,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101500,Census Tract 1015; St. Louis city; Missouri,B08105A_004,27,27,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101500,Census Tract 1015; St. Louis city; Missouri,B08105A_005,16,31,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101500,Census Tract 1015; St. Louis city; Missouri,B08105A_006,0,12,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101500,Census Tract 1015; St. Louis city; Missouri,B08105A_007,61,58,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101800,Census Tract 1018; St. Louis city; Missouri,B08105A_001,561,181,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101800,Census Tract 1018; St. Louis city; Missouri,B08105A_002,396,161,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101800,Census Tract 1018; St. Louis city; Missouri,B08105A_003,0,12,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101800,Census Tract 1018; St. Louis city; Missouri,B08105A_004,25,34,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101800,Census Tract 1018; St. Louis city; Missouri,B08105A_005,48,53,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101800,Census Tract 1018; St. Louis city; Missouri,B08105A_006,32,42,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101800,Census Tract 1018; St. Louis city; Missouri,B08105A_007,60,69,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102100,Census Tract 1021; St. Louis city; Missouri,B08105A_001,1356,264,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102100,Census Tract 1021; St. Louis city; Missouri,B08105A_002,966,169,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102100,Census Tract 1021; St. Louis city; Missouri,B08105A_003,113,125,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102100,Census Tract 1021; St. Louis city; Missouri,B08105A_004,14,18,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102100,Census Tract 1021; St. Louis city; Missouri,B08105A_005,33,32,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102100,Census Tract 1021; St. Louis city; Missouri,B08105A_006,28,32,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102100,Census Tract 1021; St. Louis city; Missouri,B08105A_007,202,114,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102200,Census Tract 1022; St. Louis city; Missouri,B08105A_001,2698,313,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102200,Census Tract 1022; St. Louis city; Missouri,B08105A_002,2250,280,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102200,Census Tract 1022; St. Louis city; Missouri,B08105A_003,110,81,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102200,Census Tract 1022; St. Louis city; Missouri,B08105A_004,23,28,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102200,Census Tract 1022; St. Louis city; Missouri,B08105A_005,1,2,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102200,Census Tract 1022; St. Louis city; Missouri,B08105A_006,21,34,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102200,Census Tract 1022; St. Louis city; Missouri,B08105A_007,293,127,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102300,Census Tract 1023; St. Louis city; Missouri,B08105A_001,797,140,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102300,Census Tract 1023; St. Louis city; Missouri,B08105A_002,670,124,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102300,Census Tract 1023; St. Louis city; Missouri,B08105A_003,54,42,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102300,Census Tract 1023; St. Louis city; Missouri,B08105A_004,13,12,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102300,Census Tract 1023; St. Louis city; Missouri,B08105A_005,12,12,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102300,Census Tract 1023; St. Louis city; Missouri,B08105A_006,7,11,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102300,Census Tract 1023; St. Louis city; Missouri,B08105A_007,41,24,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102400,Census Tract 1024; St. Louis city; Missouri,B08105A_001,1000,160,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102400,Census Tract 1024; St. Louis city; Missouri,B08105A_002,660,135,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102400,Census Tract 1024; St. Louis city; Missouri,B08105A_003,87,58,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102400,Census Tract 1024; St. Louis city; Missouri,B08105A_004,15,25,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102400,Census Tract 1024; St. Louis city; Missouri,B08105A_005,72,59,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102400,Census Tract 1024; St. Louis city; Missouri,B08105A_006,24,24,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102400,Census Tract 1024; St. Louis city; Missouri,B08105A_007,142,95,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102500,Census Tract 1025; St. Louis city; Missouri,B08105A_001,981,171,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102500,Census Tract 1025; St. Louis city; Missouri,B08105A_002,834,168,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102500,Census Tract 1025; St. Louis city; Missouri,B08105A_003,70,59,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102500,Census Tract 1025; St. Louis city; Missouri,B08105A_004,13,13,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102500,Census Tract 1025; St. Louis city; Missouri,B08105A_005,25,30,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102500,Census Tract 1025; St. Louis city; Missouri,B08105A_006,5,8,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510102500,Census Tract 1025; St. Louis city; Missouri,B08105A_007,34,23,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103100,Census Tract 1031; St. Louis city; Missouri,B08105A_001,1466,179,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103100,Census Tract 1031; St. Louis city; Missouri,B08105A_002,1152,172,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103100,Census Tract 1031; St. Louis city; Missouri,B08105A_003,83,59,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103100,Census Tract 1031; St. Louis city; Missouri,B08105A_004,0,12,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103100,Census Tract 1031; St. Louis city; Missouri,B08105A_005,21,27,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103100,Census Tract 1031; St. Louis city; Missouri,B08105A_006,0,12,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103100,Census Tract 1031; St. Louis city; Missouri,B08105A_007,210,68,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103400,Census Tract 1034; St. Louis city; Missouri,B08105A_001,1012,157,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103400,Census Tract 1034; St. Louis city; Missouri,B08105A_002,772,123,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103400,Census Tract 1034; St. Louis city; Missouri,B08105A_003,12,11,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103400,Census Tract 1034; St. Louis city; Missouri,B08105A_004,0,12,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103400,Census Tract 1034; St. Louis city; Missouri,B08105A_005,15,13,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103400,Census Tract 1034; St. Louis city; Missouri,B08105A_006,64,56,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103400,Census Tract 1034; St. Louis city; Missouri,B08105A_007,149,55,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103600,Census Tract 1036; St. Louis city; Missouri,B08105A_001,645,246,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103600,Census Tract 1036; St. Louis city; Missouri,B08105A_002,449,132,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103600,Census Tract 1036; St. Louis city; Missouri,B08105A_003,0,12,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103600,Census Tract 1036; St. Louis city; Missouri,B08105A_004,3,7,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103600,Census Tract 1036; St. Louis city; Missouri,B08105A_005,20,19,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103600,Census Tract 1036; St. Louis city; Missouri,B08105A_006,29,31,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103600,Census Tract 1036; St. Louis city; Missouri,B08105A_007,144,126,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103700,Census Tract 1037; St. Louis city; Missouri,B08105A_001,1326,208,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103700,Census Tract 1037; St. Louis city; Missouri,B08105A_002,986,154,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103700,Census Tract 1037; St. Louis city; Missouri,B08105A_003,115,115,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103700,Census Tract 1037; St. Louis city; Missouri,B08105A_004,0,12,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103700,Census Tract 1037; St. Louis city; Missouri,B08105A_005,47,43,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103700,Census Tract 1037; St. Louis city; Missouri,B08105A_006,19,21,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103700,Census Tract 1037; St. Louis city; Missouri,B08105A_007,159,76,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103800,Census Tract 1038; St. Louis city; Missouri,B08105A_001,1782,195,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103800,Census Tract 1038; St. Louis city; Missouri,B08105A_002,1446,203,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103800,Census Tract 1038; St. Louis city; Missouri,B08105A_003,87,65,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103800,Census Tract 1038; St. Louis city; Missouri,B08105A_004,18,19,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103800,Census Tract 1038; St. Louis city; Missouri,B08105A_005,11,16,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103800,Census Tract 1038; St. Louis city; Missouri,B08105A_006,36,29,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510103800,Census Tract 1038; St. Louis city; Missouri,B08105A_007,184,73,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510104200,Census Tract 1042; St. Louis city; Missouri,B08105A_001,1781,245,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510104200,Census Tract 1042; St. Louis city; Missouri,B08105A_002,1361,189,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510104200,Census Tract 1042; St. Louis city; Missouri,B08105A_003,89,70,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510104200,Census Tract 1042; St. Louis city; Missouri,B08105A_004,48,56,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510104200,Census Tract 1042; St. Louis city; Missouri,B08105A_005,0,12,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510104200,Census Tract 1042; St. Louis city; Missouri,B08105A_006,14,21,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510104200,Census Tract 1042; St. Louis city; Missouri,B08105A_007,269,153,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510104500,Census Tract 1045; St. Louis city; Missouri,B08105A_001,1253,262,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510104500,Census Tract 1045; St. Louis city; Missouri,B08105A_002,916,235,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510104500,Census Tract 1045; St. Louis city; Missouri,B08105A_003,24,22,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510104500,Census Tract 1045; St. Louis city; Missouri,B08105A_004,7,11,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510104500,Census Tract 1045; St. Louis city; Missouri,B08105A_005,42,41,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510104500,Census Tract 1045; St. Louis city; Missouri,B08105A_006,27,23,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510104500,Census Tract 1045; St. Louis city; Missouri,B08105A_007,237,110,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105198,Census Tract 1051.98; St. Louis city; Missouri,B08105A_001,1314,316,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105198,Census Tract 1051.98; St. Louis city; Missouri,B08105A_002,662,158,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105198,Census Tract 1051.98; St. Louis city; Missouri,B08105A_003,10,14,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105198,Census Tract 1051.98; St. Louis city; Missouri,B08105A_004,32,28,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105198,Census Tract 1051.98; St. Louis city; Missouri,B08105A_005,111,62,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105198,Census Tract 1051.98; St. Louis city; Missouri,B08105A_006,51,40,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105198,Census Tract 1051.98; St. Louis city; Missouri,B08105A_007,448,278,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105200,Census Tract 1052; St. Louis city; Missouri,B08105A_001,630,242,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105200,Census Tract 1052; St. Louis city; Missouri,B08105A_002,417,232,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105200,Census Tract 1052; St. Louis city; Missouri,B08105A_003,59,34,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105200,Census Tract 1052; St. Louis city; Missouri,B08105A_004,0,12,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105200,Census Tract 1052; St. Louis city; Missouri,B08105A_005,54,49,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105200,Census Tract 1052; St. Louis city; Missouri,B08105A_006,0,12,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105200,Census Tract 1052; St. Louis city; Missouri,B08105A_007,100,64,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105300,Census Tract 1053; St. Louis city; Missouri,B08105A_001,107,76,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105300,Census Tract 1053; St. Louis city; Missouri,B08105A_002,67,51,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105300,Census Tract 1053; St. Louis city; Missouri,B08105A_003,16,20,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105300,Census Tract 1053; St. Louis city; Missouri,B08105A_004,0,12,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105300,Census Tract 1053; St. Louis city; Missouri,B08105A_005,17,20,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105300,Census Tract 1053; St. Louis city; Missouri,B08105A_006,7,10,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105300,Census Tract 1053; St. Louis city; Missouri,B08105A_007,0,12,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105400,Census Tract 1054; St. Louis city; Missouri,B08105A_001,137,89,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105400,Census Tract 1054; St. Louis city; Missouri,B08105A_002,107,71,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105400,Census Tract 1054; St. Louis city; Missouri,B08105A_003,0,12,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510105400,Census Tract 1054; St. Louis city; Missouri,B08105A_004,0,12,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
